,filename,objectID,name,xmin,ymin,xmax,ymax
88,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_02,D00,269,155,418,506
89,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_03,D00,342,116,504,179
90,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_00,D00,74,8,149,49
91,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_01,D00,67,1,101,185
92,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_02,D00,101,185,470,511
93,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_03,D10,369,337,512,351
94,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000034.jpg,object_00,D10,1,226,512,287
95,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000035.jpg,object_00,D40,118,284,207,510
96,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000036.jpg,object_00,D00,219,115,391,439
97,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000036.jpg,object_01,D00,7,207,127,494
98,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000036.jpg,object_02,D00,63,97,168,245
99,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_00,D00,36,267,178,358
100,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_01,D10,181,240,511,341
101,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_02,D00,441,3,512,73
102,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_03,D10,4,388,311,454
103,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000038.jpg,object_00,D00,441,175,508,223
104,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000038.jpg,object_01,D00,161,229,188,505
105,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000039.jpg,object_00,D10,289,278,512,322
106,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000039.jpg,object_01,D10,85,269,246,310
107,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000040.jpg,object_00,Repair,1,95,512,472
108,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000041.jpg,object_00,D10,72,283,512,332
109,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000041.jpg,object_01,D10,1,357,231,404
110,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_00,D00,61,114,151,347
111,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_01,D10,152,254,512,319
112,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_02,D00,447,312,512,434
113,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_03,D00,79,341,156,437
114,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_04,D00,20,375,90,467
115,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_05,D00,59,473,73,512
116,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000043.jpg,object_00,D10,1,317,512,416
117,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000044.jpg,object_00,D10,1,270,512,371
118,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000045.jpg,object_00,D10,39,38,189,65
119,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000045.jpg,object_01,D20,1,216,260,511
120,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000045.jpg,object_02,D20,275,272,512,342
121,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000046.jpg,object_00,D00,327,33,410,512
122,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_00,D20,306,48,337,89
123,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_01,D00,293,110,352,230
124,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_02,D00,287,235,369,506
125,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_03,D40,455,302,512,494
126,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_04,D10,346,333,453,396
127,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_05,D10,356,443,500,493
128,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000048.jpg,object_00,D00,216,67,245,187
129,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000048.jpg,object_01,D00,199,185,260,512
130,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000048.jpg,object_02,D10,1,101,212,128
131,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000049.jpg,object_00,D00,258,21,477,511
132,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000050.jpg,object_00,D40,201,183,229,235
133,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000051.jpg,object_00,Repair,240,36,387,290
134,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000051.jpg,object_01,Repair,170,121,246,217
135,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000051.jpg,object_02,D20,109,283,332,470
136,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000052.jpg,object_00,D10,213,172,512,227
137,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000052.jpg,object_01,D10,1,256,378,294
138,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000053.jpg,object_00,D00,214,188,236,510
139,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000054.jpg,object_00,D00,178,1,222,512
140,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000055.jpg,object_00,D00,222,408,292,511
141,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000055.jpg,object_01,D00,348,335,397,512
142,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000055.jpg,object_02,D00,355,159,512,437
143,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000056.jpg,object_00,D10,288,350,512,380
144,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000057.jpg,object_00,D00,232,1,283,512
145,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000058.jpg,object_00,D00,368,10,414,191
146,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000058.jpg,object_01,D10,1,325,105,345
147,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000058.jpg,object_02,D10,400,398,512,407
148,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000059.jpg,object_00,D00,150,230,185,507
149,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000059.jpg,object_01,D00,457,186,510,227
150,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000060.jpg,object_00,D00,41,342,82,507
151,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000060.jpg,object_01,D00,253,23,447,511
152,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000061.jpg,object_00,D00,227,207,247,509
153,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000062.jpg,object_00,D20,1,324,286,368
154,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000062.jpg,object_01,D10,282,324,512,381
155,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000062.jpg,object_02,D10,45,64,512,112
156,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000063.jpg,object_00,D10,22,432,174,457
157,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000063.jpg,object_01,D00,201,195,251,511
158,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000063.jpg,object_02,D20,178,14,327,189
159,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_00,Repair,1,16,434,310
160,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_01,D40,413,194,428,210
161,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_02,D20,434,179,512,238
162,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_03,D00,346,310,384,512
163,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_04,D20,373,78,491,133
164,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000065.jpg,object_00,D00,195,1,243,510
165,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_00,D20,230,1,406,197
166,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_01,D00,158,43,214,509
167,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_02,D00,155,1,198,40
168,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_03,D00,22,146,135,485
169,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000067.jpg,object_00,D10,1,262,403,299
170,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000067.jpg,object_01,D00,313,35,481,512
171,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000067.jpg,object_02,D00,222,113,233,149
172,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000068.jpg,object_00,D20,26,299,512,511
173,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000069.jpg,object_00,D00,137,45,255,512
174,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_00,D00,91,11,179,287
175,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_01,D20,124,124,512,512
176,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_02,Repair,148,306,479,511
177,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_03,D20,213,44,326,121
178,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000071.jpg,object_00,Repair,1,95,512,476
179,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000072.jpg,object_00,D00,283,61,417,504
180,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000072.jpg,object_01,D00,7,15,210,506
181,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000073.jpg,object_00,Repair,1,104,512,495
182,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000074.jpg,object_00,D00,275,159,438,507
183,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000074.jpg,object_01,D00,31,131,201,486
184,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000074.jpg,object_02,D00,344,114,498,193
185,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000075.jpg,object_00,D20,1,191,428,512
186,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_00,D20,17,340,205,417
187,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_01,D00,1,215,511,341
188,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_02,D00,72,413,103,511
189,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_03,D00,112,408,137,511
190,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000077.jpg,object_00,D10,251,142,512,193
191,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000077.jpg,object_01,D10,1,221,411,274
192,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000078.jpg,object_00,Repair,1,149,511,481
193,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000078.jpg,object_01,D40,108,96,131,113
194,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000079.jpg,object_00,D20,1,223,368,511
195,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000079.jpg,object_01,D00,235,16,443,209
196,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000080.jpg,object_00,D20,1,109,416,326
197,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000080.jpg,object_01,D20,130,10,304,108
198,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000081.jpg,object_00,D00,332,179,407,512
199,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000081.jpg,object_01,D00,264,1,328,511
200,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000082.jpg,object_00,D00,206,34,259,112
201,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000082.jpg,object_01,D00,259,112,373,512
202,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000082.jpg,object_02,D00,188,1,206,35
203,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000083.jpg,object_00,D00,207,1,239,512
204,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000084.jpg,object_00,D00,171,1,212,510
205,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000084.jpg,object_01,D00,82,39,157,322
206,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000085.jpg,object_00,D00,138,191,267,433
207,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_00,D00,233,1,335,262
208,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_01,D10,337,259,512,294
209,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_02,D00,291,267,341,408
210,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_03,D10,2,263,210,318
211,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_04,D00,210,293,294,433
212,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_05,D00,259,424,288,508
213,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000087.jpg,object_00,D20,1,207,202,510
214,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000087.jpg,object_01,D00,366,370,430,508
215,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000087.jpg,object_02,D20,279,207,397,357
216,D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000088.jpg,object_00,D40,242,222,277,257
