filename,objectID,name,xmin,ymin,xmax,ymax
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_00,Repair,1,37,255,439
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_01,D40,264,264,280,288
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_02,D20,266,228,512,412
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_03,D20,268,112,386,183
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000007.jpg,object_04,D00,97,425,134,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000008.jpg,object_00,D00,218,194,272,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000008.jpg,object_01,D20,176,115,431,196
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000008.jpg,object_02,D00,243,10,276,113
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000009.jpg,object_00,D00,44,343,93,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000010.jpg,object_00,D40,236,75,262,95
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000010.jpg,object_01,D40,224,79,233,92
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_00,D00,143,1,189,228
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_01,D00,105,227,183,396
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_02,D00,266,411,333,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_03,D00,281,283,315,447
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_04,D00,330,349,416,503
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000011.jpg,object_05,D00,191,208,273,243
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000012.jpg,object_00,D00,355,211,504,507
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000012.jpg,object_01,D00,72,37,221,507
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000013.jpg,object_00,D10,1,241,509,351
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000013.jpg,object_01,D00,421,292,476,505
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_00,D20,1,357,170,407
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_01,D10,169,368,404,429
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_02,D20,402,393,512,455
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000014.jpg,object_03,D10,57,77,502,142
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000015.jpg,object_00,Repair,1,25,512,379
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000016.jpg,object_00,D10,1,197,512,248
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000017.jpg,object_00,D00,28,1,193,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000017.jpg,object_01,D00,325,42,511,492
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000017.jpg,object_02,D10,209,40,317,55
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000018.jpg,object_00,D00,266,7,283,217
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000018.jpg,object_01,D10,399,226,512,244
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000018.jpg,object_02,D10,196,446,333,457
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000019.jpg,object_00,D10,14,59,90,75
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000019.jpg,object_01,D00,52,79,150,500
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000019.jpg,object_02,D10,103,50,203,65
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000020.jpg,object_00,D00,277,82,333,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000020.jpg,object_01,D10,1,217,302,241
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000020.jpg,object_02,D00,192,132,201,153
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000021.jpg,object_00,D10,1,401,511,454
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000022.jpg,object_00,D00,19,215,169,509
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000023.jpg,object_00,D10,1,259,512,348
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000024.jpg,object_00,D00,217,106,252,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_00,D00,159,190,175,259
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_01,Repair,43,3,167,74
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_02,Repair,17,11,90,46
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_03,Repair,155,312,444,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000025.jpg,object_04,D10,5,472,159,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000026.jpg,object_00,D00,200,1,233,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000026.jpg,object_01,D10,218,429,297,452
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000026.jpg,object_02,D10,420,462,512,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000027.jpg,object_00,D00,276,137,365,470
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000028.jpg,object_00,D00,201,31,234,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_00,D00,210,123,277,172
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_01,D00,279,133,401,173
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_02,D00,247,175,283,418
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_03,D10,2,281,247,362
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_04,D00,235,363,245,427
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000029.jpg,object_05,D00,246,428,353,505
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000030.jpg,object_00,D10,65,283,512,367
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000030.jpg,object_01,D00,1,288,68,416
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000030.jpg,object_02,D00,3,176,70,284
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000031.jpg,object_00,D10,40,271,512,320
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000031.jpg,object_01,D10,16,1,235,16
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_00,D00,11,125,200,461
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_01,D00,67,413,111,509
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_02,D00,269,155,418,506
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000032.jpg,object_03,D00,342,116,504,179
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_00,D00,74,8,149,49
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_01,D00,67,1,101,185
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_02,D00,101,185,470,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000033.jpg,object_03,D10,369,337,512,351
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000034.jpg,object_00,D10,1,226,512,287
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000035.jpg,object_00,D40,118,284,207,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000036.jpg,object_00,D00,219,115,391,439
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000036.jpg,object_01,D00,7,207,127,494
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000036.jpg,object_02,D00,63,97,168,245
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_00,D00,36,267,178,358
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_01,D10,181,240,511,341
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_02,D00,441,3,512,73
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000037.jpg,object_03,D10,4,388,311,454
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000038.jpg,object_00,D00,441,175,508,223
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000038.jpg,object_01,D00,161,229,188,505
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000039.jpg,object_00,D10,289,278,512,322
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000039.jpg,object_01,D10,85,269,246,310
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000040.jpg,object_00,Repair,1,95,512,472
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000041.jpg,object_00,D10,72,283,512,332
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000041.jpg,object_01,D10,1,357,231,404
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_00,D00,61,114,151,347
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_01,D10,152,254,512,319
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_02,D00,447,312,512,434
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_03,D00,79,341,156,437
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_04,D00,20,375,90,467
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000042.jpg,object_05,D00,59,473,73,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000043.jpg,object_00,D10,1,317,512,416
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000044.jpg,object_00,D10,1,270,512,371
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000045.jpg,object_00,D10,39,38,189,65
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000045.jpg,object_01,D20,1,216,260,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000045.jpg,object_02,D20,275,272,512,342
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000046.jpg,object_00,D00,327,33,410,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_00,D20,306,48,337,89
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_01,D00,293,110,352,230
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_02,D00,287,235,369,506
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_03,D40,455,302,512,494
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_04,D10,346,333,453,396
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000047.jpg,object_05,D10,356,443,500,493
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000048.jpg,object_00,D00,216,67,245,187
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000048.jpg,object_01,D00,199,185,260,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000048.jpg,object_02,D10,1,101,212,128
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000049.jpg,object_00,D00,258,21,477,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000050.jpg,object_00,D40,201,183,229,235
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000051.jpg,object_00,Repair,240,36,387,290
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000051.jpg,object_01,Repair,170,121,246,217
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000051.jpg,object_02,D20,109,283,332,470
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000052.jpg,object_00,D10,213,172,512,227
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000052.jpg,object_01,D10,1,256,378,294
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000053.jpg,object_00,D00,214,188,236,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000054.jpg,object_00,D00,178,1,222,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000055.jpg,object_00,D00,222,408,292,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000055.jpg,object_01,D00,348,335,397,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000055.jpg,object_02,D00,355,159,512,437
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000056.jpg,object_00,D10,288,350,512,380
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000057.jpg,object_00,D00,232,1,283,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000058.jpg,object_00,D00,368,10,414,191
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000058.jpg,object_01,D10,1,325,105,345
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000058.jpg,object_02,D10,400,398,512,407
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000059.jpg,object_00,D00,150,230,185,507
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000059.jpg,object_01,D00,457,186,510,227
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000060.jpg,object_00,D00,41,342,82,507
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000060.jpg,object_01,D00,253,23,447,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000061.jpg,object_00,D00,227,207,247,509
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000062.jpg,object_00,D20,1,324,286,368
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000062.jpg,object_01,D10,282,324,512,381
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000062.jpg,object_02,D10,45,64,512,112
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000063.jpg,object_00,D10,22,432,174,457
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000063.jpg,object_01,D00,201,195,251,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000063.jpg,object_02,D20,178,14,327,189
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_00,Repair,1,16,434,310
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_01,D40,413,194,428,210
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_02,D20,434,179,512,238
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_03,D00,346,310,384,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000064.jpg,object_04,D20,373,78,491,133
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000065.jpg,object_00,D00,195,1,243,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_00,D20,230,1,406,197
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_01,D00,158,43,214,509
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_02,D00,155,1,198,40
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000066.jpg,object_03,D00,22,146,135,485
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000067.jpg,object_00,D10,1,262,403,299
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000067.jpg,object_01,D00,313,35,481,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000067.jpg,object_02,D00,222,113,233,149
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000068.jpg,object_00,D20,26,299,512,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000069.jpg,object_00,D00,137,45,255,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_00,D00,91,11,179,287
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_01,D20,124,124,512,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_02,Repair,148,306,479,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000070.jpg,object_03,D20,213,44,326,121
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000071.jpg,object_00,Repair,1,95,512,476
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000072.jpg,object_00,D00,283,61,417,504
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000072.jpg,object_01,D00,7,15,210,506
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000073.jpg,object_00,Repair,1,104,512,495
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000074.jpg,object_00,D00,275,159,438,507
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000074.jpg,object_01,D00,31,131,201,486
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000074.jpg,object_02,D00,344,114,498,193
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000075.jpg,object_00,D20,1,191,428,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_00,D20,17,340,205,417
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_01,D00,1,215,511,341
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_02,D00,72,413,103,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000076.jpg,object_03,D00,112,408,137,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000077.jpg,object_00,D10,251,142,512,193
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000077.jpg,object_01,D10,1,221,411,274
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000078.jpg,object_00,Repair,1,149,511,481
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000078.jpg,object_01,D40,108,96,131,113
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000079.jpg,object_00,D20,1,223,368,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000079.jpg,object_01,D00,235,16,443,209
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000080.jpg,object_00,D20,1,109,416,326
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000080.jpg,object_01,D20,130,10,304,108
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000081.jpg,object_00,D00,332,179,407,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000081.jpg,object_01,D00,264,1,328,511
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000082.jpg,object_00,D00,206,34,259,112
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000082.jpg,object_01,D00,259,112,373,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000082.jpg,object_02,D00,188,1,206,35
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000083.jpg,object_00,D00,207,1,239,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000084.jpg,object_00,D00,171,1,212,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000084.jpg,object_01,D00,82,39,157,322
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000085.jpg,object_00,D00,138,191,267,433
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_00,D00,233,1,335,262
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_01,D10,337,259,512,294
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_02,D00,291,267,341,408
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_03,D10,2,263,210,318
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_04,D00,210,293,294,433
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000086.jpg,object_05,D00,259,424,288,508
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000087.jpg,object_00,D20,1,207,202,510
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000087.jpg,object_01,D00,366,370,430,508
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000087.jpg,object_02,D20,279,207,397,357
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000088.jpg,object_00,D40,242,222,277,257
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000088.jpg,object_01,D40,227,233,239,247
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000089.jpg,object_00,D00,204,8,250,512
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000089.jpg,object_01,D10,1,109,214,132
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000090.jpg,object_00,D20,1,115,95,188
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000090.jpg,object_01,D20,1,229,217,423
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000090.jpg,object_02,D10,216,358,318,393
D:/Dataset/CRDDC2022/dataset/China_MotorBike/train\images\China_MotorBike_000090.jpg,object_03,D00,317,293,391,358
